type,model,balanced_accuracy,f1_score,precision,recall
lemmatization,SVC,0.831058049687011,0.8432510885341075,0.7872628726287263,0.9078125
preprocessed,SVC,0.8287142996870109,0.8407272727272728,0.7863945578231293,0.903125
stemming,SVC,0.825982369913928,0.8372943327239488,0.7869415807560137,0.89453125
stemming,LR,0.8244278169014084,0.8340110905730129,0.791578947368421,0.88125
preprocessed,LGBM,0.8236098884976526,0.8402408784980517,0.7686325340246274,0.9265625
lemmatization,LGBM,0.8224557413928013,0.835626357711803,0.7786774628879892,0.9015625
stemming,XGB,0.8189364485524256,0.8325497287522603,0.775084175084175,0.89921875
lemmatization,LR,0.8185678305946792,0.8276374442793463,0.7889518413597734,0.8703125
stemming,LGBM,0.818528095657277,0.8355776045357902,0.7645914396887159,0.92109375
lemmatization,XGB,0.809153095657277,0.825589706933524,0.7608695652173914,0.90234375
preprocessed,XGB,0.8084011883802817,0.8185185185185184,0.778169014084507,0.86328125
preprocessed,RF,0.8079641040688577,0.8277797264117852,0.7511139401654997,0.921875
stemming,RF,0.8036580594679186,0.8250871080139371,0.7446540880503144,0.925
preprocessed,LR,0.802140184859155,0.8139705882352941,0.76875,0.86484375
lemmatization,RF,0.801305751173709,0.8243430152143845,0.739454094292804,0.93125
