id,Sentence,Aspect Term,polarity,from,to
2339,I charge it at night and skip taking the cord with me because of the good battery life.,cord,neutral,41,45
2339,I charge it at night and skip taking the cord with me because of the good battery life.,battery life,positive,74,86
1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,negative,27,41
1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",negative,109,121
1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,neutral,4,12
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,positive,14,21
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,positive,36,39
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,positive,118,130
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,positive,143,146
2789,Easy to start up and does not overheat as much as other laptops.,start up,positive,8,16
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,positive,46,54
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,positive,77,82
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,positive,84,94
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,positive,96,107
80,Great laptop that offers many great features!,features,positive,36,44
917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,negative,89,92
917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,negative,94,100
917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,neutral,111,122
917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,negative,131,147
1630,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,neutral,87,94
