type,model,score,params
lemmatization,LGBM,0.8295011310384824,"{'lgbm_boosting_type': 'gbdt', 'lgbm_max_depth': 12, 'lgbm_n_estimators': 333, 'lgbm_subsample': 0.9367393538754355, 'tfidf_ngram_range': 'digram', 'tfidf_max_features': 5697, 'tfidf_max_df': 0.8461080367889807, 'tfidf_min_df': 0.00012931054966621824}"
preprocessed,SVC,0.8279359142381717,"{'svc_kernel': 'rbf', 'svc_C': 1.4318393113722407, 'tfidf_ngram_range': 'digram', 'tfidf_max_features': 2493, 'tfidf_max_df': 0.821402704543996, 'tfidf_min_df': 0.0007078433320654484}"
preprocessed,LGBM,0.8277647009516128,"{'lgbm_boosting_type': 'dart', 'lgbm_max_depth': 8, 'lgbm_n_estimators': 395, 'lgbm_subsample': 0.9786672573591595, 'tfidf_ngram_range': 'unigram', 'tfidf_max_features': 3719, 'tfidf_max_df': 0.9620582864667189, 'tfidf_min_df': 0.0004178886620714936}"
stemming,SVC,0.8273282005217389,"{'svc_kernel': 'rbf', 'svc_C': 1.2769323445571867, 'tfidf_ngram_range': 'unigram', 'tfidf_max_features': 8432, 'tfidf_max_df': 0.901358223945256, 'tfidf_min_df': 0.0003497466006027218}"
lemmatization,SVC,0.8260242874042223,"{'svc_kernel': 'rbf', 'svc_C': 1.3347440516526416, 'tfidf_ngram_range': 'trigram', 'tfidf_max_features': 1743, 'tfidf_max_df': 0.9592307945556902, 'tfidf_min_df': 0.0005156788905434892}"
stemming,LGBM,0.8243324116625151,"{'lgbm_boosting_type': 'gbdt', 'lgbm_max_depth': 14, 'lgbm_n_estimators': 47, 'lgbm_subsample': 0.6763114591400695, 'tfidf_ngram_range': 'unigram', 'tfidf_max_features': 7896, 'tfidf_max_df': 0.8726995572865293, 'tfidf_min_df': 0.00010761923718688525}"
preprocessed,XGB,0.82046196059508,"{'xgb_booster': 'dart', 'xgb_max_depth': 13, 'xgb_n_estimators': 103, 'xgb_subsample': 0.9150958883282474, 'tfidf_ngram_range': 'unigram', 'tfidf_max_features': 1466, 'tfidf_max_df': 0.9625476812915221, 'tfidf_min_df': 3.475395363315486e-05}"
stemming,XGB,0.8175518633344548,"{'xgb_booster': 'gbtree', 'xgb_max_depth': 3, 'xgb_n_estimators': 126, 'xgb_subsample': 0.6789374154333612, 'tfidf_ngram_range': 'trigram', 'tfidf_max_features': 1993, 'tfidf_max_df': 0.8038501703381888, 'tfidf_min_df': 0.0018039544794470064}"
stemming,LR,0.8168546067116212,"{'lr_penalty': 'l2', 'lr_C': 1.476130789859466, 'tfidf_ngram_range': 'trigram', 'tfidf_max_features': 9379, 'tfidf_max_df': 0.9000799027049124, 'tfidf_min_df': 1.7381024782369694e-05}"
lemmatization,LR,0.814377555031224,"{'lr_penalty': 'l2', 'lr_C': 1.728445496973784, 'tfidf_ngram_range': 'digram', 'tfidf_max_features': 4147, 'tfidf_max_df': 0.9701699845498118, 'tfidf_min_df': 0.00023461362461710234}"
lemmatization,XGB,0.8141634298690065,"{'xgb_booster': 'dart', 'xgb_max_depth': 1, 'xgb_n_estimators': 234, 'xgb_subsample': 0.6118808404517502, 'tfidf_ngram_range': 'unigram', 'tfidf_max_features': 1010, 'tfidf_max_df': 0.9170902863066774, 'tfidf_min_df': 0.0006777006523809902}"
preprocessed,RF,0.8078636342526254,"{'rf_max_depth': 15, 'rf_n_estimators': 201, 'rf_criterion': 'log_loss', 'rf_min_samples_split': 0.013860937783493876, 'tfidf_ngram_range': 'unigram', 'tfidf_max_features': 6481, 'tfidf_max_df': 0.9478755977460126, 'tfidf_min_df': 0.0005835201888275228}"
preprocessed,LR,0.8051664916587093,"{'lr_penalty': 'l1', 'lr_C': 10.022385601516065, 'tfidf_ngram_range': 'trigram', 'tfidf_max_features': 4565, 'tfidf_max_df': 0.9250257928550478, 'tfidf_min_df': 0.003670702795655745}"
stemming,RF,0.8046936681101521,"{'rf_max_depth': 15, 'rf_n_estimators': 117, 'rf_criterion': 'entropy', 'rf_min_samples_split': 0.026128551127656066, 'tfidf_ngram_range': 'unigram', 'tfidf_max_features': 1738, 'tfidf_max_df': 0.8149080290001827, 'tfidf_min_df': 5.672873705708315e-05}"
lemmatization,RF,0.8015220594981745,"{'rf_max_depth': 14, 'rf_n_estimators': 126, 'rf_criterion': 'log_loss', 'rf_min_samples_split': 0.07965827051163638, 'tfidf_ngram_range': 'unigram', 'tfidf_max_features': 1548, 'tfidf_max_df': 0.9551921262748005, 'tfidf_min_df': 0.0005103527159608934}"
