model_name,num_topics,metric_name,metric_value
LDA,10,coherence,0.3871037123523545
LDA,10,diversity,0.25
LDA,20,coherence,0.39701374373819065
LDA,20,diversity,0.25
LDA,50,coherence,0.401208930424428
LDA,50,diversity,0.258
all-MiniLM-L6-v2,10,coherence,0.4583558067205801
all-MiniLM-L6-v2,10,diversity,0.63
all-MiniLM-L6-v2,20,coherence,0.44966546336866414
all-MiniLM-L6-v2,20,diversity,0.445
all-MiniLM-L6-v2,50,coherence,0.44209513868367994
all-MiniLM-L6-v2,50,diversity,0.358
all-MiniLM-L12-v2,10,coherence,0.4317558795791518
all-MiniLM-L12-v2,10,diversity,0.5
all-MiniLM-L12-v2,20,coherence,0.4221980710763461
all-MiniLM-L12-v2,20,diversity,0.43
all-MiniLM-L12-v2,50,coherence,0.42750140158640193
all-MiniLM-L12-v2,50,diversity,0.342
all-mpnet-base-v2,10,coherence,0.43286978693255984
all-mpnet-base-v2,10,diversity,0.56
all-mpnet-base-v2,20,coherence,0.4273771981884968
all-mpnet-base-v2,20,diversity,0.45
all-mpnet-base-v2,50,coherence,0.45630831597901006
all-mpnet-base-v2,50,diversity,0.39
distilbert,10,coherence,0.4631102826602248
distilbert,10,diversity,0.57
distilbert,20,coherence,0.49921481076362595
distilbert,20,diversity,0.47
distilbert,50,coherence,0.4932699630505908
distilbert,50,diversity,0.372
roberta,10,coherence,0.32449488152611433
roberta,10,diversity,0.5666666666666667
roberta,20,coherence,0.32449488152611433
roberta,20,diversity,0.5666666666666667
roberta,50,coherence,0.32449488152611433
roberta,50,diversity,0.5666666666666667
